Code,Name,Phone,Street,City,State,Zip
nga,Northgate Branch,+1 206-386-1980,10548 5th Ave NE,Seattle,WA,98125
hip,High Point Branch,+1 206-684-7454,3411 SW Raymond St,Seattle,WA,98126
rbe,Rainier Beach Branch,+1 206-386-1906,9125 Rainier Ave S,Seattle,WA,98118
wlb,Washington Talking Book Library,+1 206-615-0400,2021 9th Ave,Seattle,WA,98121
dth,Douglass-Truth Branch,+1 206-684-4704,2300 E Yesler Way,Seattle,WA,98122
mag,Magnolia Branch,+1 206-386-4225,2801 34th Ave W,Seattle,WA,98199
nhy,NewHolly Branch,+1 206-386-1905,7058 32nd Ave S #104,Seattle,WA,98118
bal,Ballard Branch,,5614 22nd Ave NW,Seattle,WA,98107
gwd,Greenwood Branch,+1 206-684-4086,8016 Greenwood Ave N,Seattle,WA,98103
net,Northeast Branch,+1 206-684-7539,6801 35th Ave NE,Seattle,WA,98115
idc,International District/Chinatown Branch,+1 206-386-1300,713 8th Ave S,Seattle,WA,98104
cap,Capitol Hill Branch,+1 206-684-4715,425 Harvard Ave E,Seattle,WA,98102
wal,Wallingford Branch,+1 206-684-4088,1501 N 45th St,Seattle,WA,98103
tcs,Central College Student Services,+1 206-934-6924,1701 Broadway,Seattle,WA,98122
lcy,Lake City Branch,+1 206-684-7518,12501 28th Ave NE,Seattle,WA,98125
bro,Broadview Branch,+1 206-684-7519,12755 Greenwood Ave N,Seattle,WA,98133
mon,Montlake Branch,+1 206-684-4720,2401 24th Ave E,Seattle,WA,98112
spa,South Park Branch,+1 206-615-1688,8604 8th Ave S,Seattle,WA,98108
dlr,Delridge Branch,+1 206-733-9125,5423 Delridge Way SW,Seattle,WA,98106
col,Columbia Branch,+1 206-386-1908,4721 Rainier Ave S,Seattle,WA,98118
uni,University Branch,+1 206-684-4063,5009 Roosevelt Way NE,Seattle,WA,98105
qna,Queen Anne Branch,+1 206-386-4227,400 W Garfield St,Seattle,WA,98119
wts,West Seattle Branch,+1 206-684-7444,2306 42nd Ave SW,Seattle,WA,98116
mgm,Madrona-Sally Goldmark Branch,+1 206-684-4705,1134 33rd Ave,Seattle,WA,98122
glk,Green Lake Branch,+1 206-684-7547,7364 East Green Lake Dr N,Seattle,WA,98115
bea,Beacon Hill Branch,+1 206-684-4711,2821 Beacon Ave S #5813,Seattle,WA,98144
cen,Central Library,,1000 4th Ave,Seattle,WA,98104
fre,Fremont Branch,+1 206-684-4084,731 N 35th St,Seattle,WA,98103
swt,Southwest Branch,+1 206-684-7455,9010 35th Ave SW,Seattle,WA,98126
